wave,F0
687.21,1484.09
688.18,1483
689.14,1489.67
690.1,1496.21
691.07,1490.05
692.03,1478.97
692.99,1479
693.95,1481.97
694.91,1463.57
695.88,1472.82
696.84,1472.71
697.8,1442.44
698.76,1478.47
699.72,1469.84
700.68,1446.63
701.64,1439.81
702.59,1446.53
703.55,1452.26
704.51,1466.16
705.47,1456.34
706.43,1437.14
707.38,1439.68
708.34,1427.2
709.29,1411.09
710.25,1425.07
711.21,1401.34
712.16,1392.66
713.12,1392.54
714.07,1398.34
715.03,1382.52
715.98,1388.2
716.93,1392.49
717.89,1385.21
718.84,1360.72
719.79,1373.08
720.74,1370.34
721.7,1371.01
722.65,1367.93
723.6,1374.11
724.55,1368.91
725.5,1356.92
726.45,1359.98
727.4,1359.36
728.35,1333.44
729.3,1317.84
730.25,1349.99
731.2,1343.51
732.15,1346.47
733.09,1336.62
734.04,1349.64
734.99,1333.82
735.94,1321.38
736.88,1323.26
737.83,1318.53
738.77,1278.33
739.72,1295.08
740.67,1280.9
741.61,1272.24
742.55,1292.84
743.5,1310.03
744.44,1295.04
745.39,1310
746.33,1302.44
747.27,1307.71
748.22,1305.86
749.16,1283.27
750.1,1284.72
751.04,1272.72
751.98,1283.94
752.92,1277.48
753.86,1290.73
754.8,1288.03
755.74,1283.38
756.68,1288.85
757.62,1290.08
758.56,1268.83
759.5,1287.83
760.44,1273.29
761.38,1260.28
762.31,1255.32
763.25,1276.42
764.19,1275.6
765.12,1265.81
766.06,1210.33
767,1244.92
767.93,1259.15
768.87,1245.51
769.8,1242.65
770.74,1243.4
771.67,1237.43
772.6,1236.56
777.27,1181.16
778.2,1177.24
779.13,1187.68
780.06,1175.73
780.99,1179.87
781.92,1188.55
782.85,1172.5
783.78,1160.62
784.71,1172.17
786.57,1173.58
787.5,1167.63
788.43,1168.15
789.35,1170.68
790.28,1172.21
791.21,1155.97
792.14,1147.88
793.06,1128.11
793.99,1118.15
794.91,1137.08
795.84,1152.9
796.76,1149.98
797.69,1148.72
798.61,1147.11
799.54,1131.74
800.46,1132.54
801.38,1142.05
802.31,1134.93
803.23,1133.88
804.15,1134.36
805.08,1116.01
806,1131.25
806.92,1125.17
807.84,1122.42
808.76,1115.84
809.68,1107.43
810.6,1121.97
811.52,1123.98
812.44,1127.88
813.36,1130.46
814.28,1120.46
815.2,1118.79
816.11,1115.54
817.03,1110.96
817.95,1096.49
818.87,1082.01
819.78,1072.65
820.7,1081.91
821.61,1067.04
822.53,1089.6
823.45,1086.43
824.36,1083.93
825.28,1080.21
826.19,1084.59
827.1,1087.11
828.02,1078.29
828.93,1075.15
829.84,1070.71
830.76,1062.07
831.67,1074.72
832.58,1047.93
833.49,1030.55
834.4,1036.01
835.31,1057.7
836.22,1058.81
837.14,1055.69
838.04,1036.31
838.95,1037.23
839.86,1052.47
840.77,1056.08
841.68,1034.49
842.59,1024.58
843.5,1004.8
844.41,1026.07
845.31,1043.65
846.22,1039.48
847.13,1014.04
848.03,1017.23
848.94,998.19
849.84,915.98
850.75,993.38
851.65,975.84
852.56,987.97
853.46,897.64
854.37,782.63
855.27,951.06
856.17,990.62
857.08,978.09
857.98,989.44
858.88,984.09
859.78,991.63
860.68,988.74
861.59,991.88
862.49,1023.44
863.39,1008.39
864.29,1009.07
865.19,963.85
866.09,839.03
866.99,927.44
867.88,991.62
868.78,962.14
869.68,986.94
870.58,978.74
872,953
874,956
876,958
878,934
880,935
882,923
884,937
886,922
888,924
890,920
892,911
894,914
896,919
898,894
900,889
902,891
904,881
906,881
908,854
910,865
912,873
914,865
916,860
918,861
920,835
922,828
924,834
926,839
928,845
930,840
932,848
934,835
936,820
938,828
940,821
942,806
944,822
946,817
948,801
950,803
952,796
954,785
956,799
958,796
960,792
962,791
964,788
966,780
968,798
970,783
972,783
974,767
976,783
978,781
980,772
982,774
984,776
986,758
988,767
990,763
992,754
994,756
996,743
998,743
